username,repo_name,stars,repo_url
amphp,amp,3300,https://github.com/amphp/amp
danog,MadelineProto,1600,https://github.com/danog/MadelineProto
amphp,http-server,1100,https://github.com/amphp/http-server
unreal4u,telegram-api,663,https://github.com/unreal4u/telegram-api
amphp,http-client,576,https://github.com/amphp/http-client
amphp,parallel,509,https://github.com/amphp/parallel
php-service-bus,service-bus,295,https://github.com/php-service-bus/service-bus
amphp,mysql,243,https://github.com/amphp/mysql
amphp,byte-stream,238,https://github.com/amphp/byte-stream
amphp,parallel-functions,193,https://github.com/amphp/parallel-functions
amphp,process,136,https://github.com/amphp/process
amphp,socket,135,https://github.com/amphp/socket
amphp,redis,114,https://github.com/amphp/redis
kelunik,acme,103,https://github.com/kelunik/acme
amphp,dns,93,https://github.com/amphp/dns
PeeHaa,mailgrab,92,https://github.com/PeeHaa/mailgrab
amphp,websocket-client,89,https://github.com/amphp/websocket-client
amphp,sync,78,https://github.com/amphp/sync
jolicode,asynit,67,https://github.com/jolicode/asynit
amphp,websocket-server,64,https://github.com/amphp/websocket-server
amphp,postgres,57,https://github.com/amphp/postgres
amphp,file,56,https://github.com/amphp/file
amphp,cache,55,https://github.com/amphp/cache
amphp,beanstalk,54,https://github.com/amphp/beanstalk
amphp,windows-registry,51,https://github.com/amphp/windows-registry
amphp,hpack,50,https://github.com/amphp/hpack
amphp,serialization,48,https://github.com/amphp/serialization
phpinnacle,ridge,41,https://github.com/phpinnacle/ridge
Room-11,Jeeves,41,https://github.com/Room-11/Jeeves
amphp,aerys,41,https://github.com/amphp/aerys
